"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 7","Male","CAH19-01","English studies","CAH19-01-05","Creative writing",180,175,"7.5","2.8","160","16.1","4","72.4","78.6","79.8","7.5","100","18800","29300","41000"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","First-degree","Male","CAH04-01","Psychology","CAH04-01-01","Psychology (non-specific)",1830,1770,"1.4","3.3","1745","7.5","5.2","69.6","83.8","87.3","17.7","1170","19000","24800","32500"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","First-degree","Male","CAH15-04","Health and social care","CAH15-04-01","Social work",720,715,"1.5","1.2","700","4.9","3.8","75.3","90.6","91.3","16","510","20800","27400","33600"
202021,"Tax year","National","K02000001","United Kingdom","2018/2019","1 YAG","Level 7","Male","CAH16-01","Law","CAH16-01-01","Law",3650,3605,"1.7","1.3","3545","6.4","5.9","75.9","84.7","87.7","11.9","2605","21200","30300","47400"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","First-degree","Male","CAH26-01","Geography, earth and environmental studies","CAH26-01-02","Physical geographical sciences",1475,1425,"0.8","3.6","1410","4.1","4.3","75.9","88.5","91.6","15.8","1050","20100","25200","31800"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 7","Male","CAH11-01","Computing","CAH11-01-03","Information systems",490,480,"3.1","1.7","470","9.3","5.6","76.3","82.5","85","8.8","345","30300","46000","70100"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 7","Male","CAH11-01","Computing","CAH11-01-03","Information systems",410,400,"3.5","3.1","385","11.8","7.4","72.6","79","80.8","8.2","265","36900","50400","78800"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",40,40,"9.7","2.4","35","0","2.7","94.6","97.3","97.3","2.7","30","33600","45600","52600"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","First-degree","Male","CAH23-01","Combined and general studies","CAH23-01-01","Combined, general or negotiated studies",1240,1205,"3.6","2.5","1165","8.6","5.6","66.6","81","85.8","19.2","725","21200","30300","46000"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 7","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",6205,6015,"7","3.1","5595","11","3.9","77.6","84.3","85.1","7.5","3985","18600","32800","44900"
