time_period,academic_year,YAG,qualification_level,sex,CAH3_code,CAH3_subject,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
202324,2019/2020,3 YAG,First-degree,Male,CAH02-06-01,Health sciences (non-specific),735,725,0.4,1.2,720,3.4,2,65.6,92.4,94.6,29,465,33300,42500,49000
202122,2019/2020,1 YAG,First-degree,Female,CAH02-06-04,Environmental and public health,270,265,0.4,0.7,265,1.7,7.2,50,79.2,91.2,41.2,130,16100,21900,27000
202324,2021/2022,1 YAG,First-degree,Male,CAH02-05-01,Medical technology,280,280,0.7,0.7,275,2.5,3.2,85.6,94.2,94.2,8.7,235,31100,35100,41400
202324,2021/2022,1 YAG,First-degree,Female,CAH02-04-04,Midwifery,1910,1895,0.4,0.8,1890,1.4,2.5,87.8,95.6,96.1,8.3,1655,31500,36600,42100
202324,2021/2022,1 YAG,First-degree,Female,CAH03-01-06,Zoology,725,695,0.8,3.8,690,1.3,9.4,61.7,81.1,89.3,27.6,410,15400,21200,24900
202324,2019/2020,3 YAG,First-degree,Female,CAH15-04-01,Social work,3230,3210,0.7,0.6,3185,1.6,5,78.1,92,93.4,15.3,2455,23800,33300,38100
202324,2019/2020,3 YAG,First-degree,Female,CAH02-04-04,Midwifery,1785,1750,0.5,2,1740,1.3,3.1,80.4,94.8,95.6,15.2,1395,30400,38100,43900
202223,2020/2021,1 YAG,First-degree,Female,CAH02-04-02,Adult nursing,9175,9115,0.5,0.7,9065,1.2,3,83.5,95.3,95.8,12.4,7530,26300,30300,35000
202324,2021/2022,1 YAG,First-degree,Male,CAH22-01-01,Education,590,585,0.7,0.5,580,4.3,6.7,53.7,82,88.9,35.2,305,18300,23800,28200
202223,2020/2021,1 YAG,First-degree,Male,CAH10-01-06,"Bioengineering, medical and biomedical engineering",250,250,1.4,1.7,245,1.5,7.7,57.4,77.3,90.8,33.5,135,22600,27400,33900
202122,2019/2020,1 YAG,First-degree,Male,CAH15-01-01,Social sciences (non-specific),105,100,0,1.1,100,4.3,11,51.1,74.2,84.7,33.6,50,16800,23700,29600
202223,2020/2021,1 YAG,First-degree,Female,CAH15-04-01,Social work,3225,3210,1.1,0.4,3175,1,4.8,75,92.3,94.2,19.3,2360,21900,29900,33200
202122,2019/2020,1 YAG,First-degree,Female,CAH15-04-01,Social work,3230,3220,0.7,0.3,3195,1.2,5.1,71.7,91.3,93.7,22,2265,20400,28100,31000
202122,2019/2020,1 YAG,First-degree,Female,CAH02-04-02,Adult nursing,10535,10505,0.6,0.3,10435,1.2,2.6,82.8,95.5,96.2,13.4,8625,25600,28800,33600
202324,2019/2020,3 YAG,First-degree,Male,CAH15-01-02,Sociology,1770,1740,0.4,1.8,1730,4,7.3,71.6,86.5,88.7,17.1,1220,22700,27100,32900
202122,2019/2020,1 YAG,First-degree,Female,CAH02-06-07,"Counselling, psychotherapy and occupational therapy",1690,1685,0.7,0.4,1670,2.4,5.6,75.9,89.3,92,16.1,1225,18600,24100,26600
202122,2019/2020,1 YAG,First-degree,Female,CAH02-05-04,"Anatomy, physiology and pathology",535,530,0.4,1,530,2,4.2,35.8,73.3,93.8,58.1,185,19000,23700,27700
202122,2019/2020,1 YAG,First-degree,Female,CAH02-06-01,Health sciences (non-specific),1860,1855,0.5,0.3,1850,1.6,4,78.9,91.2,94.4,15.4,1435,23700,28100,34300
202223,2020/2021,1 YAG,First-degree,Male,CAH03-02-01,Sport and exercise sciences,5525,5445,0.8,1.5,5400,2.5,6.4,59.9,85.3,91,31.1,3110,15700,20800,25200
202223,2020/2021,1 YAG,First-degree,Female,CAH15-04-03,Health studies,2345,2340,0.6,0.3,2325,2,8,57.4,82.3,90,32.6,1295,14200,20800,25900
202122,2019/2020,1 YAG,First-degree,Female,CAH02-04-07,Mental health nursing,1935,1935,0.3,0.2,1925,2,2.6,84.5,94.6,95.4,11,1620,27700,31800,38000
202122,2019/2020,1 YAG,First-degree,Male,CAH25-02-02,Music,3600,3570,3.1,0.8,3460,3.6,10.1,63.5,79.9,86.3,22.8,2030,11300,16100,20400
202223,2020/2021,1 YAG,First-degree,Male,CAH01-01-02,Medicine (non-specific),2575,2555,0.6,0.8,2540,10.4,14.5,54.9,65.9,75.1,20.3,1385,38700,41600,47100
202324,2021/2022,1 YAG,First-degree,Female,CAH22-01-01,Education,5850,5810,0.4,0.7,5785,2,6.4,57.5,85.8,91.7,34.2,3275,15700,20900,26000
202122,2019/2020,1 YAG,First-degree,Male,CAH13-01-02,Building,2440,2430,1,0.5,2405,2.5,4.1,83.8,91.9,93.4,9.6,1990,24800,31400,42300
202324,2021/2022,1 YAG,First-degree,Male,CAH10-01-03,Production and manufacturing engineering,1055,1035,1.2,1.7,1020,3.3,5.2,74.4,87.5,91.5,17.1,750,27400,32600,40600
202324,2019/2020,3 YAG,First-degree,Female,CAH22-01-01,Education,6180,6115,0.8,1.1,6070,3,7.8,77.2,87.2,89.2,12.1,4595,19000,25600,29600
202324,2019/2020,3 YAG,First-degree,Female,CAH02-06-05,Physiotherapy,865,825,0.8,4.3,820,2.2,4.3,87,93.2,93.5,6.5,700,30700,35100,37300
202223,2020/2021,1 YAG,First-degree,Male,CAH02-06-01,Health sciences (non-specific),815,815,0.7,0.3,810,0.9,2.9,74.8,94,96.2,21.4,595,29900,35400,43100
202223,2020/2021,1 YAG,First-degree,Female,CAH06-01-01,Animal science,990,980,0.4,1.2,975,1.9,6.5,67,85.7,91.7,24.7,630,16600,20100,23000
202223,2020/2021,1 YAG,First-degree,Female,CAH15-01-02,Sociology,7880,7760,0.6,1.5,7720,1.8,7.2,60,85.3,91,31,4555,17400,21500,25600
202223,2020/2021,1 YAG,First-degree,Female,CAH04-01-01,Psychology (non-specific),12550,12360,0.8,1.5,12265,2.6,6,51.9,83.7,91.4,39.6,6220,16400,21500,25600
202324,2019/2020,3 YAG,First-degree,Male,CAH17-01-04,Management studies,2715,2640,1.3,2.7,2610,6.5,6.2,77.5,86,87.3,9.8,1970,27800,38400,52300
202223,2020/2021,1 YAG,First-degree,Female,CAH22-01-01,Education,6770,6730,0.7,0.6,6685,1.8,5.5,57.6,87,92.7,35.1,3775,14600,19300,24500
202122,2019/2020,1 YAG,First-degree,Male,CAH15-02-01,Economics,5025,4965,0.6,1.2,4935,3.1,6.3,54.5,81.5,90.6,36.1,2640,20400,26600,34300
202122,2019/2020,1 YAG,First-degree,Male,CAH15-01-05,Development studies,90,90,0.7,1.1,90,2.2,3.9,56.5,84.5,93.9,37.4,50,17900,22600,27300
202223,2020/2021,1 YAG,First-degree,Male,CAH23-01-01,"Combined, general or negotiated studies",895,875,1.7,2.2,860,7.6,5.5,62.5,80.6,86.9,24.3,510,22300,29200,42000
202122,2019/2020,1 YAG,First-degree,Female,CAH17-01-01,Business and management (non-specific),2850,2805,1.1,1.5,2775,3.3,8.1,64,83,88.6,24.6,1725,17200,22500,28100
202223,2020/2021,1 YAG,First-degree,Male,CAH09-01-01,Mathematics,4115,4025,0.6,2.2,4000,5,6.4,54.5,79.4,88.6,34.1,2145,22600,28100,35000
202122,2019/2020,1 YAG,First-degree,Male,CAH03-01-03,Ecology and environmental biology,320,315,0.3,2.6,310,4.3,8.4,49.3,73.4,87.3,37.9,145,14600,19000,22600
202223,2020/2021,1 YAG,First-degree,Female,CAH17-01-04,Management studies,2810,2775,0.9,1.2,2750,2.9,6.8,73.1,87.4,90.3,17.2,1980,22600,29200,39400
202223,2020/2021,1 YAG,First-degree,Female,CAH22-01-02,Teacher training,4095,4045,0.6,1.2,4020,1.2,3.5,86.4,93.9,95.3,8.9,3455,20800,25600,26000
202223,2020/2021,1 YAG,First-degree,Female,CAH02-04-04,Midwifery,1865,1855,0.6,0.5,1845,0.6,2.7,87.1,96.4,96.7,9.6,1600,28100,33600,39100
202122,2019/2020,1 YAG,First-degree,Female,CAH25-01-03,Design studies,7975,7875,0.7,1.3,7815,3.1,10.3,73.3,83.4,86.6,13.3,5510,13100,18200,21900
202223,2020/2021,1 YAG,First-degree,Male,CAH13-01-02,Building,2760,2740,1.2,0.7,2710,2.9,4.3,81.7,91.7,92.8,11.1,2180,27000,33200,43800
202324,2019/2020,3 YAG,First-degree,Female,CAH02-04-02,Adult nursing,10535,10440,0.6,0.9,10375,1.8,3.1,74.1,94.2,95.1,21,7620,27800,34400,40600
202324,2021/2022,1 YAG,First-degree,Female,CAH02-04-02,Adult nursing,8355,8310,0.6,0.5,8260,1.3,2.9,83.2,95.1,95.8,12.7,6845,29300,32900,37700
202324,2019/2020,3 YAG,First-degree,Male,CAH13-01-02,Building,2440,2410,1.1,1.3,2385,4.1,5.6,86.4,89.8,90.3,4,2030,33300,43200,54900
202223,2020/2021,1 YAG,First-degree,Female,CAH15-04-02,Childhood and youth studies,2715,2705,0.9,0.3,2680,2.2,6.7,61.3,85.7,91.1,29.9,1615,14200,19000,23400
