Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2050
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2120
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2070
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2100
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2050
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,All,All,2140
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1135
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1245
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1185
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1200
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1075
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,All,All,1165
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1355
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1400
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1320
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1315
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1215
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,All,All,1310
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,535
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,595
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,540
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,580
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,550
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,All,All,575
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,775
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,840
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,780
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,835
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,735
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,All,All,765
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,180
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,205
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,205
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,215
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,200
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,All,All,180
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,125
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,130
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,95
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,115
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,105
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,All,All,90
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,200
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,185
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,185
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,200
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,155
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,All,All,135
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,All,All,110
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,All,All,120
