Year,Subject group HECoS CAH1,Subject group HECoS CAH3,IMD Aggregated,Accepted applicants
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2600
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2665
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2605
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2620
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2540
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2715
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1320
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1405
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1310
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1345
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1210
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1275
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1550
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1530
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1370
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1485
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1400
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1390
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,670
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,665
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,605
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,675
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,655
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,625
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,825
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,830
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,805
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,170
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,190
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,205
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,205
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,195
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,175
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,140
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,145
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,100
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,120
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,100
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,90
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,235
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,205
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,175
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,190
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,175
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,185
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,130
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,155
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,140
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,150
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,135
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,150
2019,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,185
2020,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2021,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,185
2022,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,245
2023,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2024,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2019,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,20
2020,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,20
2021,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,10
2022,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,15
2023,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,25
2024,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,15
2019,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,135
2020,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,140
2021,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,155
2022,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,140
2023,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,160
2024,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,180
2019,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,275
